Exchange,Type,WebSocket URL
htx,ws,"{'api': {'spot': {'public': 'wss://{hostname}/ws', 'private': 'wss://{hostname}/ws/v2', 'feed': 'wss://{hostname}/feed'}, 'future': {'linear': {'public': 'wss://api.hbdm.com/linear-swap-ws', 'private': 'wss://api.hbdm.com/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.com/ws', 'private': 'wss://api.hbdm.com/notification'}}, 'swap': {'inverse': {'public': 'wss://api.hbdm.com/swap-ws', 'private': 'wss://api.hbdm.com/swap-notification'}, 'linear': {'public': 'wss://api.hbdm.com/linear-swap-ws', 'private': 'wss://api.hbdm.com/linear-swap-notification'}}}, 'api-aws': {'spot': {'public': 'wss://api-aws.huobi.pro/ws', 'private': 'wss://api-aws.huobi.pro/ws/v2', 'feed': 'wss://{hostname}/feed'}, 'future': {'linear': {'public': 'wss://api.hbdm.vn/linear-swap-ws', 'private': 'wss://api.hbdm.vn/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.vn/ws', 'private': 'wss://api.hbdm.vn/notification'}}, 'swap': {'linear': {'public': 'wss://api.hbdm.vn/linear-swap-ws', 'private': 'wss://api.hbdm.vn/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.vn/swap-ws', 'private': 'wss://api.hbdm.vn/swap-notification'}}}}"
huobi,status,https://{hostname}
huobi,contract,https://{hostname}
huobi,spot,https://{hostname}
huobi,public,https://{hostname}
huobi,private,https://{hostname}
huobi,v2Public,https://{hostname}
huobi,v2Private,https://{hostname}
huobi,ws,"{'api': {'spot': {'public': 'wss://{hostname}/ws', 'private': 'wss://{hostname}/ws/v2', 'feed': 'wss://{hostname}/feed'}, 'future': {'linear': {'public': 'wss://api.hbdm.com/linear-swap-ws', 'private': 'wss://api.hbdm.com/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.com/ws', 'private': 'wss://api.hbdm.com/notification'}}, 'swap': {'inverse': {'public': 'wss://api.hbdm.com/swap-ws', 'private': 'wss://api.hbdm.com/swap-notification'}, 'linear': {'public': 'wss://api.hbdm.com/linear-swap-ws', 'private': 'wss://api.hbdm.com/linear-swap-notification'}}}, 'api-aws': {'spot': {'public': 'wss://api-aws.huobi.pro/ws', 'private': 'wss://api-aws.huobi.pro/ws/v2', 'feed': 'wss://{hostname}/feed'}, 'future': {'linear': {'public': 'wss://api.hbdm.vn/linear-swap-ws', 'private': 'wss://api.hbdm.vn/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.vn/ws', 'private': 'wss://api.hbdm.vn/notification'}}, 'swap': {'linear': {'public': 'wss://api.hbdm.vn/linear-swap-ws', 'private': 'wss://api.hbdm.vn/linear-swap-notification'}, 'inverse': {'public': 'wss://api.hbdm.vn/swap-ws', 'private': 'wss://api.hbdm.vn/swap-notification'}}}}"
hyperliquid,public,https://api.{hostname}
hyperliquid,private,https://api.{hostname}
hyperliquid,ws,{'public': 'wss://api.hyperliquid.xyz/ws'}
independentreserve,public,https://api.independentreserve.com/Public
independentreserve,private,https://api.independentreserve.com/Private
independentreserve,ws,wss://websockets.independentreserve.com
kraken,public,https://api.kraken.com
kraken,private,https://api.kraken.com
kraken,zendesk,https://kraken.zendesk.com/api/v2/help_center/en-us/articles
kraken,ws,"{'public': 'wss://ws.kraken.com', 'private': 'wss://ws-auth.kraken.com', 'privateV2': 'wss://ws-auth.kraken.com/v2', 'publicV2': 'wss://ws.kraken.com/v2', 'beta': 'wss://beta-ws.kraken.com', 'beta-private': 'wss://beta-ws-auth.kraken.com'}"
krakenfutures,charts,https://futures.kraken.com/api/charts/
krakenfutures,history,https://futures.kraken.com/api/history/
krakenfutures,feeschedules,https://futures.kraken.com/api/feeschedules/
krakenfutures,public,https://futures.kraken.com/derivatives/api/
krakenfutures,private,https://futures.kraken.com/derivatives/api/
krakenfutures,ws,wss://futures.kraken.com/ws/v1
kucoin,public,https://api.kucoin.com
kucoin,private,https://api.kucoin.com
kucoin,futuresPrivate,https://api-futures.kucoin.com
kucoin,futuresPublic,https://api-futures.kucoin.com
kucoin,webExchange,https://kucoin.com/_api
kucoin,broker,https://api-broker.kucoin.com
kucoin,earn,https://api.kucoin.com
kucoinfutures,public,https://openapi-v2.kucoin.com
kucoinfutures,private,https://openapi-v2.kucoin.com
kucoinfutures,futuresPrivate,https://api-futures.kucoin.com
kucoinfutures,futuresPublic,https://api-futures.kucoin.com
kucoinfutures,webExchange,https://futures.kucoin.com/_api/web-front
kucoinfutures,broker,https://api-broker.kucoin.com
kucoinfutures,earn,https://api.kucoin.com
lbank,rest,https://api.lbank.info
lbank,contract,https://lbkperp.lbank.com
lbank,ws,wss://www.lbkex.net/ws/V2/
luno,public,https://api.luno.com/api
luno,private,https://api.luno.com/api
luno,exchange,https://api.luno.com/api/exchange
luno,exchangePrivate,https://api.luno.com/api/exchange
luno,ws,wss://ws.luno.com/api/1
mexc,spot,"{'public': 'https://api.mexc.com', 'private': 'https://api.mexc.com'}"
mexc,spot2,"{'public': 'https://www.mexc.com/open/api/v2', 'private': 'https://www.mexc.com/open/api/v2'}"
mexc,contract,"{'public': 'https://contract.mexc.com/api/v1/contract', 'private': 'https://contract.mexc.com/api/v1/private'}"
mexc,broker,{'private': 'https://api.mexc.com/api/v3/broker'}
mexc,ws,"{'spot': 'wss://wbs.mexc.com/ws', 'swap': 'wss://contract.mexc.com/edge'}"
modetrade,public,https://api-evm.orderly.org
modetrade,private,https://api-evm.orderly.org
modetrade,ws,"{'public': 'wss://ws-evm.orderly.org/ws/stream', 'private': 'wss://ws-private-evm.orderly.org/v2/ws/private/stream'}"
myokx,rest,https://{hostname}
myokx,ws,wss://wseea.okx.com:8443/ws/v5
ndax,public,https://api.ndax.io:8443/AP
ndax,private,https://api.ndax.io:8443/AP
ndax,ws,wss://api.ndax.io/WSGateway
okcoin,rest,https://www.{hostname}
okcoin,ws,wss://real.okcoin.com:8443/ws/v3
okx,rest,https://{hostname}
okx,ws,wss://ws.okx.com:8443/ws/v5
okxus,rest,https://{hostname}
okxus,ws,wss://wsus.okx.com:8443/ws/v5
onetrading,public,https://api.onetrading.com/fast
onetrading,private,https://api.onetrading.com/fast
onetrading,ws,wss://streams.onetrading.com/
oxfun,public,https://api.ox.fun
oxfun,private,https://api.ox.fun
oxfun,ws,wss://api.ox.fun/v2/websocket
oxfun,test,wss://stgapi.ox.fun/v2/websocket
p2b,public,https://api.p2pb2b.com/api/v2/public
p2b,private,https://api.p2pb2b.com/api/v2
p2b,ws,wss://apiws.p2pb2b.com/
paradex,v1,https://api.prod.{hostname}/v1
paradex,ws,wss://ws.api.prod.paradex.trade/v1
phemex,v1,https://{hostname}/v1
phemex,v2,https://{hostname}
phemex,public,https://{hostname}/exchange/public
phemex,private,https://{hostname}
phemex,ws,wss://ws.phemex.com
poloniex,spot,https://api.poloniex.com
poloniex,swap,https://api.poloniex.com
