timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460303711,16:18:23.711,ADA/USDT:USDT,0.785,268.1,0.7851,41.9,0.785,3974973.0,
1753460303823,16:18:23.823,ADA/USDT:USDT,0.785,266.7,0.7851,134.1,0.785,3974973.0,
1753460303931,16:18:23.931,ADA/USDT:USDT,0.785,266.6,0.7851,90.7,0.785,3974973.0,
1753460304045,16:18:24.045,ADA/USDT:USDT,0.785,268.0,0.7851,75.9,0.785,3974973.0,
1753460304151,16:18:24.151,ADA/USDT:USDT,0.785,255.0,0.7851,177.4,0.785,3974973.0,
1753460304267,16:18:24.267,ADA/USDT:USDT,0.785,241.8,0.7851,177.4,0.785,3974973.0,
1753460304397,16:18:24.397,ADA/USDT:USDT,0.785,241.8,0.7851,177.6,0.785,3974973.0,
1753460304609,16:18:24.609,ADA/USDT:USDT,0.785,381.6,0.7851,2.4,0.785,3974973.0,
1753460304719,16:18:24.719,ADA/USDT:USDT,0.785,382.8,0.7851,2.4,0.785,3974973.0,
1753460304961,16:18:24.961,ADA/USDT:USDT,0.785,384.0,0.7851,2.5,0.785,3974973.0,
1753460305105,16:18:25.105,ADA/USDT:USDT,0.785,257.9,0.7851,2.5,0.785,3974973.0,
1753460305209,16:18:25.209,ADA/USDT:USDT,0.785,267.2,0.7851,154.2,0.785,3974973.0,
1753460305315,16:18:25.315,ADA/USDT:USDT,0.785,261.1,0.7851,154.4,0.785,3974973.0,
1753460305416,16:18:25.416,ADA/USDT:USDT,0.785,260.2,0.7851,88.4,0.785,3974973.0,
1753460305518,16:18:25.518,ADA/USDT:USDT,0.785,257.6,0.7851,174.4,0.785,3974973.0,
1753460305625,16:18:25.625,ADA/USDT:USDT,0.7849,87.7,0.785,809.9,0.785,3974983.9,
1753460305731,16:18:25.731,ADA/USDT:USDT,0.7849,232.2,0.785,491.6,0.785,3974983.9,
1753460305844,16:18:25.844,ADA/USDT:USDT,0.7849,232.4,0.785,537.6,0.785,3974983.9,
1753460306063,16:18:26.063,ADA/USDT:USDT,0.7849,232.4,0.785,512.0,0.785,3974983.9,
1753460306176,16:18:26.176,ADA/USDT:USDT,0.785,11.2,0.7851,300.7,0.785,3974983.9,
1753460306304,16:18:26.304,ADA/USDT:USDT,0.785,610.4,0.7851,26.4,0.785,3974984.0,
1753460306409,16:18:26.409,ADA/USDT:USDT,0.785,612.0,0.7851,68.3,0.785,3974984.0,
1753460306514,16:18:26.514,ADA/USDT:USDT,0.785,132.2,0.7851,493.5,0.785,3974984.0,
1753460306617,16:18:26.617,ADA/USDT:USDT,0.785,208.3,0.7851,331.4,0.785,3974984.0,
1753460306720,16:18:26.720,ADA/USDT:USDT,0.785,207.1,0.7851,331.4,0.785,3974984.0,
1753460307009,16:18:27.009,ADA/USDT:USDT,0.785,236.0,0.7851,292.9,0.785,3974984.0,
1753460307318,16:18:27.318,ADA/USDT:USDT,0.785,284.0,0.7851,28.4,0.785,3974984.0,
1753460307420,16:18:27.420,ADA/USDT:USDT,0.785,273.6,0.7851,77.0,0.785,3974984.0,
1753460307521,16:18:27.521,ADA/USDT:USDT,0.785,265.2,0.7851,140.3,0.785,3974984.0,
1753460307669,16:18:27.669,ADA/USDT:USDT,0.7849,170.2,0.785,477.5,0.785,3974984.0,
1753460307781,16:18:27.781,ADA/USDT:USDT,0.7848,152.8,0.7849,387.1,0.785,3974984.0,
